index,1, rsu_latitude, rsu_longitude, obu_latitude, obu_longitude,0, distance, rssi
1,1,374124620,1271229770,374136016,1271221991,0,0,-255
2,1,374124620,1271229770,374136358,1271221804,0,0,-255
3,1,374124620,1271229770,374135793,1271222175,0,0,-255
4,1,374124620,1271229770,374135693,1271222243,0,0,-255
5,1,374124620,1271229770,374130380,1271225854,0,0,-255
6,1,374124620,1271229770,374128071,1271227423,0,0,-255
7,1,374124620,1271229770,374127954,1271227503,0,0,-255
8,1,374124620,1271229770,374127847,1271227575,0,0,-255
9,1,374124620,1271229770,374127741,1271227648,0,0,-255
10,1,374124620,1271229770,374127637,1271227719,0,0,-255
11,1,374124620,1271229770,374127532,1271227790,0,0,-255
12,1,374124620,1271229770,374127424,1271227863,0,0,-255
13,1,374124620,1271229770,374127313,1271227939,0,0,-255
14,1,374124620,1271229770,374127203,1271228014,0,0,-255
15,1,374124620,1271229770,374127092,1271228089,0,0,-255
16,1,374124620,1271229770,374126981,1271228164,0,0,-255
17,1,374124620,1271229770,374126860,1271228247,0,0,-255
18,1,374124620,1271229770,374126751,1271228320,0,0,-255
19,1,374124620,1271229770,374126652,1271228388,0,0,-255
20,1,374124620,1271229770,374126528,1271228473,0,0,-255
21,1,374124620,1271229770,374126412,1271228551,0,0,-255
22,1,374124620,1271229770,374126297,1271228629,0,0,-255
23,1,374124620,1271229770,374126183,1271228707,0,0,-255
24,1,374124620,1271229770,374126069,1271228784,0,0,-255
25,1,374124620,1271229770,374125956,1271228861,0,0,-255
26,1,374124620,1271229770,374125832,1271228946,0,0,-255
27,1,374124620,1271229770,374125716,1271229024,0,0,-255
28,1,374124620,1271229770,374125597,1271229105,0,0,-255
29,1,374124620,1271229770,374125477,1271229187,0,0,-255
30,1,374124620,1271229770,374125359,1271229267,0,0,-255
31,1,374124620,1271229770,374125240,1271229348,0,0,-255
32,1,374124620,1271229770,374125121,1271229428,0,0,-255
33,1,374124620,1271229770,374125004,1271229508,0,0,-255
34,1,374124620,1271229770,374124887,1271229588,0,0,-255
35,1,374124620,1271229770,374124765,1271229671,0,0,-255
36,1,374124620,1271229770,374124628,1271229764,0,0,-255
37,1,374124620,1271229770,374124504,1271229848,0,0,-255
38,1,374124620,1271229770,374124381,1271229932,0,0,-255
39,1,374124620,1271229770,374124257,1271230016,0,0,-255
40,1,374124620,1271229770,374124136,1271230098,0,0,-255
41,1,374124620,1271229770,374124014,1271230181,0,0,-255
42,1,374124620,1271229770,374123890,1271230266,0,0,-255
43,1,374124620,1271229770,374123761,1271230353,0,0,-255
44,1,374124620,1271229770,374123620,1271230449,0,0,-255
45,1,374124620,1271229770,374123493,1271230535,0,0,-255
46,1,374124620,1271229770,374123366,1271230622,0,0,-255
47,1,374124620,1271229770,374123239,1271230708,0,0,-255
48,1,374124620,1271229770,374123113,1271230793,0,0,-255
49,1,374124620,1271229770,374122987,1271230879,0,0,-255
50,1,374124620,1271229770,374122855,1271230969,0,0,-255
51,1,374124620,1271229770,374122722,1271231059,0,0,-255
52,1,374124620,1271229770,374122591,1271231149,0,0,-255
53,1,374124620,1271229770,374122458,1271231238,0,0,-255
54,1,374124620,1271229770,374122314,1271231337,0,0,-255
55,1,374124620,1271229770,374122183,1271231426,0,0,-255
56,1,374124620,1271229770,374122053,1271231514,0,0,-255
57,1,374124620,1271229770,374121920,1271231605,0,0,-255
58,1,374124620,1271229770,374121782,1271231698,0,0,-255
59,1,374124620,1271229770,374121645,1271231791,0,0,-255
60,1,374124620,1271229770,374121508,1271231884,0,0,-255
61,1,374124620,1271229770,374121372,1271231977,0,0,-255
62,1,374124620,1271229770,374121236,1271232069,0,0,-255
63,1,374124620,1271229770,374121102,1271232160,0,0,-255
64,1,374124620,1271229770,374120953,1271232262,0,0,-255
65,1,374124620,1271229770,374120814,1271232356,0,0,-255
66,1,374124620,1271229770,374120674,1271232451,0,0,-255
67,1,374124620,1271229770,374120534,1271232546,0,0,-255
68,1,374124620,1271229770,374120395,1271232641,0,0,-255
69,1,374124620,1271229770,374120256,1271232735,0,0,-255
70,1,374124620,1271229770,374120130,1271232821,0,0,-255
71,1,374124620,1271229770,374119977,1271232925,0,0,-255
72,1,374124620,1271229770,374119824,1271233029,0,0,-255
73,1,374124620,1271229770,374119684,1271233124,0,0,-255
74,1,374124620,1271229770,374119545,1271233219,0,0,-255
75,1,374124620,1271229770,374119406,1271233313,0,0,-255
76,1,374124620,1271229770,374119266,1271233408,0,0,-255
77,1,374124620,1271229770,374119126,1271233503,0,0,-255
78,1,374124620,1271229770,374118986,1271233599,0,0,-255
79,1,374124620,1271229770,374118845,1271233694,0,0,-255
80,1,374124620,1271229770,374118705,1271233790,0,0,-255
81,1,374124620,1271229770,374118565,1271233884,0,0,-255
82,1,374124620,1271229770,374118410,1271233990,0,0,-255
83,1,374124620,1271229770,374118270,1271234085,0,0,-255
84,1,374124620,1271229770,374118129,1271234181,0,0,-255
85,1,374124620,1271229770,374117988,1271234277,0,0,-255
86,1,374124620,1271229770,374117847,1271234372,0,0,-255
87,1,374124620,1271229770,374117706,1271234468,0,0,-255
88,1,374124620,1271229770,374117565,1271234564,0,0,-255
89,1,374124620,1271229770,374117424,1271234660,0,0,-255
90,1,374124620,1271229770,374117268,1271234766,0,0,-255
91,1,374124620,1271229770,374117126,1271234863,0,0,-255
92,1,374124620,1271229770,374116984,1271234959,0,0,-255
93,1,374124620,1271229770,374116843,1271235055,0,0,-255
94,1,374124620,1271229770,374116700,1271235152,0,0,-255
95,1,374124620,1271229770,374116558,1271235249,0,0,-255
96,1,374124620,1271229770,374116416,1271235346,0,0,-255
97,1,374124620,1271229770,374116259,1271235452,0,0,-255
98,1,374124620,1271229770,374116117,1271235549,0,0,-255
99,1,374124620,1271229770,374115974,1271235646,0,0,-255
100,1,374124620,1271229770,374115831,1271235743,0,0,-255
101,1,374124620,1271229770,374115688,1271235840,0,0,-255
102,1,374124620,1271229770,374115545,1271235937,0,0,-255
103,1,374124620,1271229770,374115402,1271236034,0,0,-255
104,1,374124620,1271229770,374115260,1271236131,0,0,-255
105,1,374124620,1271229770,374115116,1271236229,0,0,-255
106,1,374124620,1271229770,374114959,1271236336,0,0,-255
107,1,374124620,1271229770,374114815,1271236433,0,0,-255
108,1,374124620,1271229770,374114672,1271236530,0,0,-255
109,1,374124620,1271229770,374114529,1271236628,0,0,-255
110,1,374124620,1271229770,374114385,1271236726,0,0,-255
111,1,374124620,1271229770,374114242,1271236823,0,0,-255
112,1,374124620,1271229770,374114098,1271236921,0,0,-255
113,1,374124620,1271229770,374113954,1271237019,0,0,-255
114,1,374124620,1271229770,374113810,1271237117,0,0,-255
115,1,374124620,1271229770,374113652,1271237224,0,0,-255
116,1,374124620,1271229770,374113507,1271237322,0,0,-255
117,1,374124620,1271229770,374113363,1271237420,0,0,-255
118,1,374124620,1271229770,374113219,1271237518,0,0,-255
119,1,374124620,1271229770,374113075,1271237616,0,0,-255
120,1,374124620,1271229770,374112931,1271237714,0,0,-255
121,1,374124620,1271229770,374112787,1271237812,0,0,-255
122,1,374124620,1271229770,374112644,1271237909,0,0,-255
123,1,374124620,1271229770,374112500,1271238007,0,0,-255
124,1,374124620,1271229770,374112343,1271238114,0,0,-255
125,1,374124620,1271229770,374112200,1271238211,0,0,-255
126,1,374124620,1271229770,374112058,1271238308,0,0,-255
127,1,374124620,1271229770,374111916,1271238404,0,0,-255
128,1,374124620,1271229770,374111774,1271238500,0,0,-255
129,1,374124620,1271229770,374111633,1271238596,0,0,-255
130,1,374124620,1271229770,374111491,1271238693,0,0,-255
131,1,374124620,1271229770,374111349,1271238789,0,0,-255
132,1,374124620,1271229770,374111208,1271238885,0,0,-255
133,1,374124620,1271229770,374111055,1271238989,0,0,-255
134,1,374124620,1271229770,374110917,1271239083,0,0,-255
135,1,374124620,1271229770,374110778,1271239177,0,0,-255
136,1,374124620,1271229770,374110640,1271239271,0,0,-255
137,1,374124620,1271229770,374110503,1271239364,0,0,-255
138,1,374124620,1271229770,374110365,1271239458,0,0,-255
139,1,374124620,1271229770,374110228,1271239551,0,0,-255
140,1,374124620,1271229770,374110090,1271239645,0,0,-255
141,1,374124620,1271229770,374109953,1271239738,0,0,-255
142,1,374124620,1271229770,374109802,1271239841,0,0,-255
143,1,374124620,1271229770,374109664,1271239935,0,0,-255
144,1,374124620,1271229770,374109525,1271240029,0,0,-255
145,1,374124620,1271229770,374109387,1271240123,0,0,-255
146,1,374124620,1271229770,374109248,1271240218,0,0,-255
147,1,374124620,1271229770,374109107,1271240313,0,0,-255
148,1,374124620,1271229770,374108967,1271240408,0,0,-255
149,1,374124620,1271229770,374108828,1271240503,0,0,-255
150,1,374124620,1271229770,374108689,1271240597,0,0,-255
151,1,374124620,1271229770,374108534,1271240703,0,0,-255
152,1,374124620,1271229770,374108393,1271240798,0,0,-255
153,1,374124620,1271229770,374108253,1271240893,0,0,-255
154,1,374124620,1271229770,374108115,1271240988,0,0,-255
155,1,374124620,1271229770,374107975,1271241083,0,0,-255
156,1,374124620,1271229770,374107834,1271241178,0,0,-255
157,1,374124620,1271229770,374107695,1271241273,0,0,-255
158,1,374124620,1271229770,374107555,1271241368,0,0,-255
159,1,374124620,1271229770,374107416,1271241462,0,0,-255
160,1,374124620,1271229770,374107276,1271241558,0,0,-255
161,1,374124620,1271229770,374107123,1271241661,0,0,-255
162,1,374124620,1271229770,374106984,1271241756,0,0,-255
163,1,374124620,1271229770,374106846,1271241850,0,0,-255
164,1,374124620,1271229770,374106706,1271241945,0,0,-255
165,1,374124620,1271229770,374106564,1271242041,0,0,-255
166,1,374124620,1271229770,374106423,1271242138,0,0,-255
167,1,374124620,1271229770,374106281,1271242234,0,0,-255
168,1,374124620,1271229770,374106139,1271242330,0,0,-255
169,1,374124620,1271229770,374105998,1271242426,0,0,-255
170,1,374124620,1271229770,374105857,1271242522,0,0,-255
171,1,374124620,1271229770,374105700,1271242629,0,0,-255
172,1,374124620,1271229770,374105555,1271242727,0,0,-255
173,1,374124620,1271229770,374105426,1271242815,0,0,-255
174,1,374124620,1271229770,374105273,1271242919,0,0,-255
175,1,374124620,1271229770,374105134,1271243013,0,0,-255
176,1,374124620,1271229770,374104996,1271243107,0,0,-255
177,1,374124620,1271229770,374104857,1271243202,0,0,-255
178,1,374124620,1271229770,374104721,1271243295,0,0,-255
179,1,374124620,1271229770,374104570,1271243397,0,0,-255
180,1,374124620,1271229770,374104433,1271243490,0,0,-255
181,1,374124620,1271229770,374104297,1271243583,0,0,-255
182,1,374124620,1271229770,374104161,1271243675,0,0,-255
183,1,374124620,1271229770,374104025,1271243767,0,0,-255
184,1,374124620,1271229770,374103889,1271243860,0,0,-255
185,1,374124620,1271229770,374103753,1271243952,0,0,-255
186,1,374124620,1271229770,374103618,1271244044,0,0,-255
187,1,374124620,1271229770,374103482,1271244137,0,0,-255
188,1,374124620,1271229770,374103346,1271244229,0,0,-255
189,1,374124620,1271229770,374103197,1271244330,0,0,-255
190,1,374124620,1271229770,374103062,1271244422,0,0,-255
191,1,374124620,1271229770,374102927,1271244514,0,0,-255
192,1,374124620,1271229770,374102792,1271244605,0,0,-255
